root,indicative_present_2p_s,indicative_present_1p_s,indicative_present_1p_p,indicative_present_3p_s,indicative_present_3p_p,indicative_preterite_2p_s,indicative_preterite_1p_s,indicative_preterite_1p_p,indicative_preterite_3p_s,indicative_preterite_3p_p,indicative_imperfect_2p_s,indicative_imperfect_1p_s,indicative_imperfect_1p_p,indicative_imperfect_3p_s,indicative_imperfect_3p_p,indicative_conditional_2p_s,indicative_conditional_1p_s,indicative_conditional_1p_p,indicative_conditional_3p_s,indicative_conditional_3p_p,indicative_future_2p_s,indicative_future_1p_s,indicative_future_1p_p,indicative_future_3p_s,indicative_future_3p_p,perfect_present_2p_s,perfect_present_1p_s,perfect_present_1p_p,perfect_present_3p_s,perfect_present_3p_p,perfect_past_2p_s,perfect_past_1p_s,perfect_past_1p_p,perfect_past_3p_s,perfect_past_3p_p
beber,bebes,bebo,bebemos,bebe,beben,bebiste,bebí,bebimos,bebió,bebieron,bebías,bebía,bebíamos,bebía,bebían,beberías,bebería,beberíamos,bebería,beberían,beberás,beberé,beberemos,beberá,beberán,has bebido,he bebido,hemos bebido,ha bebido,han bebido,habías bebido,había bebido,habíamos bebido,había bebido,habían bebido
coger,coges,cogo,cogemos,coge,cogen,cogiste,cogí,cogimos,cogió,cogieron,cogías,cogía,cogíamos,cogía,cogían,cogerías,cogería,cogeríamos,cogería,cogerían,cogerás,cogeré,cogeremos,cogerá,cogerán,has cogido,he cogido,hemos cogido,ha cogido,han cogido,habías cogido,había cogido,habíamos cogido,había cogido,habían cogido
caminar,caminas,camino,caminamos,camina,caminan,caminaste,caminé,caminamos,caminó,caminaron,caminabas,caminaba,caminábamos,caminaba,caminaban,caminarías,caminaría,caminaríamos,caminaría,caminarían,caminarás,caminaré,caminaremos,caminará,caminarán,has caminado,he caminado,hemos caminado,ha caminado,han caminado,habías caminado,había caminado,habíamos caminado,había caminado,habían caminado
dejar,dejas,dejo,dejamos,deja,dejan,dejaste,dejé,dejamos,dejó,dejaron,dejabas,dejaba,dejábamos,dejaba,dejaban,dejarías,dejaría,dejaríamos,dejaría,dejarían,dejarás,dejaré,dejaremos,dejará,dejarán,has dejado,he dejado,hemos dejado,ha dejado,han dejado,habías dejado,había dejado,habíamos dejado,había dejado,habían dejado
preparar,preparas,preparo,preparamos,prepara,preparan,preparaste,preparé,preparamos,preparó,prepararon,preparabas,preparaba,preparábamos,preparaba,preparaban,prepararías,prepararía,prepararíamos,prepararía,prepararían,prepararás,prepararé,prepararemos,preparará,prepararán,has preparado,he preparado,hemos preparado,ha preparado,han preparado,habías preparado,había preparado,habíamos preparado,había preparado,habían preparado
prestar,prestas,presto,prestamos,presta,prestan,prestaste,presté,prestamos,prestó,prestaron,prestabas,prestaba,prestábamos,prestaba,prestaban,prestarías,prestaría,prestaríamos,prestaría,prestarían,prestarás,prestaré,prestaremos,prestará,prestarán,has prestado,he prestado,hemos prestado,ha prestado,han prestado,habías prestado,había prestado,habíamos prestado,había prestado,habían prestado
pensar,piensas,pienso,pensamos,piensa,piensan,pensaste,pensé,pensamos,pensó,pensaron,pensabas,pensaba,pensábamos,pensaba,pensaban,pensarías,pensaría,pensaríamos,pensaría,pensarían,pensarás,pensaré,pensaremos,pensará,pensarán,has pensado,he pensado,hemos pensado,ha pensado,han pensado,habías pensado,había pensado,habíamos pensado,había pensado,habían pensado
preferir,preferes,prefero,preferimos,prefere,preferen,preferiste,preferí,preferimos,preferió,preferieron,preferías,prefería,preferíamos,prefería,preferían,preferirías,preferiría,preferiríamos,preferiría,preferirían,preferirás,preferiré,preferiremos,preferirá,preferirán,has preferido,he preferido,hemos preferido,ha preferido,han preferido,habías preferido,había preferido,habíamos preferido,había preferido,habían preferido
vender,vendes,vendo,vendemos,vende,venden,vendiste,vendí,vendimos,vendió,vendieron,vendías,vendía,vendíamos,vendía,vendían,venderías,vendería,venderíamos,vendería,venderían,venderás,venderé,venderemos,venderá,venderán,has vendido,he vendido,hemos vendido,ha vendido,han vendido,habías vendido,había vendido,habíamos vendido,había vendido,habían vendido
besar,besas,beso,besamos,besa,besan,besaste,besé,besamos,besó,besaron,besabas,besaba,besábamos,besaba,besaban,besarías,besaría,besaríamos,besaría,besarían,besarás,besaré,besaremos,besará,besarán,has besado,he besado,hemos besado,ha besado,han besado,habías besado,había besado,habíamos besado,había besado,habían besado
recordar,recuerdas,recuerdo,recordamos,recuerda,recuerdan,recordaste,recordé,recordamos,recordó,recordaron,recordabas,recordaba,recordábamos,recordaba,recordaban,recordarías,recordaría,recordaríamos,recordaría,recordarían,recordarás,recordaré,recordaremos,recordará,recordarán,has recordado,he recordado,hemos recordado,ha recordado,han recordado,habías recordado,había recordado,habíamos recordado,había recordado,habían recordado
sentir,sentes,sento,sentimos,sente,senten,sentiste,sentí,sentimos,sentió,sentieron,sentías,sentía,sentíamos,sentía,sentían,sentirías,sentiría,sentiríamos,sentiría,sentirían,sentirás,sentiré,sentiremos,sentirá,sentirán,has sentido,he sentido,hemos sentido,ha sentido,han sentido,habías sentido,había sentido,habíamos sentido,había sentido,habían sentido
tocar,tocas,toco,tocamos,toca,tocan,tocaste,tocé,tocamos,tocó,tocaron,tocabas,tocaba,tocábamos,tocaba,tocaban,tocarías,tocaría,tocaríamos,tocaría,tocarían,tocarás,tocaré,tocaremos,tocará,tocarán,has tocado,he tocado,hemos tocado,ha tocado,han tocado,habías tocado,había tocado,habíamos tocado,había tocado,habían tocado
leer,lees,leo,leemos,lee,leen,leiste,leí,leimos,leió,leieron,leías,leía,leíamos,leía,leían,leerías,leería,leeríamos,leería,leerían,leerás,leeré,leeremos,leerá,leerán,has leído,he leído,hemos leído,ha leído,han leído,habías leído,había leído,habíamos leído,había leído,habían leído
enterar,enteras,entero,enteramos,entera,enteran,enteraste,enteré,enteramos,enteró,enteraron,enterabas,enteraba,enterábamos,enteraba,enteraban,enterarías,enteraría,enteraríamos,enteraría,enterarían,enterarás,enteraré,enteraremos,enterará,enterarán,has enterado,he enterado,hemos enterado,ha enterado,han enterado,habías enterado,había enterado,habíamos enterado,había enterado,habían enterado
gastar,gastas,gasto,gastamos,gasta,gastan,gastaste,gasté,gastamos,gastó,gastaron,gastabas,gastaba,gastábamos,gastaba,gastaban,gastarías,gastaría,gastaríamos,gastaría,gastarían,gastarás,gastaré,gastaremos,gastará,gastarán,has gastado,he gastado,hemos gastado,ha gastado,han gastado,habías gastado,había gastado,habíamos gastado,había gastado,habían gastado
interesar,interesas,intereso,interesamos,interesa,interesan,interesaste,interesé,interesamos,interesó,interesaron,interesabas,interesaba,interesábamos,interesaba,interesaban,interesarías,interesaría,interesaríamos,interesaría,interesarían,interesarás,interesaré,interesaremos,interesará,interesarán,has interesado,he interesado,hemos interesado,ha interesado,han interesado,habías interesado,había interesado,habíamos interesado,había interesado,habían interesado
guiar,guias,guio,guiamos,guia,guian,guiaste,guié,guiamos,guió,guiaron,guiabas,guiaba,guiábamos,guiaba,guiaban,guiarías,guiaría,guiaríamos,guiaría,guiarían,guiarás,guiaré,guiaremos,guiará,guiarán,has guiado,he guiado,hemos guiado,ha guiado,han guiado,habías guiado,había guiado,habíamos guiado,había guiado,habían guiado
aconsejar,aconsejas,aconsejo,aconsejamos,aconseja,aconsejan,aconsejaste,aconsejé,aconsejamos,aconsejó,aconsejaron,aconsejabas,aconsejaba,aconsejábamos,aconsejaba,aconsejaban,aconsejarías,aconsejaría,aconsejaríamos,aconsejaría,aconsejarían,aconsejarás,aconsejaré,aconsejaremos,aconsejará,aconsejarán,has aconsejado,he aconsejado,hemos aconsejado,ha aconsejado,han aconsejado,habías aconsejado,había aconsejado,habíamos aconsejado,había aconsejado,habían aconsejado
aprender,aprendes,aprendo,aprendemos,aprende,aprenden,aprendiste,aprendí,aprendimos,aprendió,aprendieron,aprendías,aprendía,aprendíamos,aprendía,aprendían,aprenderías,aprendería,aprenderíamos,aprendería,aprenderían,aprenderás,aprenderé,aprenderemos,aprenderá,aprenderán,has aprendido,he aprendido,hemos aprendido,ha aprendido,han aprendido,habías aprendido,había aprendido,habíamos aprendido,había aprendido,habían aprendido
quedar,quedas,quedo,quedamos,queda,quedan,quedaste,quedé,quedamos,quedó,quedaron,quedabas,quedaba,quedábamos,quedaba,quedaban,quedarías,quedaría,quedaríamos,quedaría,quedarían,quedarás,quedaré,quedaremos,quedará,quedarán,has quedado,he quedado,hemos quedado,ha quedado,han quedado,habías quedado,había quedado,habíamos quedado,había quedado,habían quedado
llorar,lloras,lloro,lloramos,llora,lloran,lloraste,lloré,lloramos,lloró,lloraron,llorabas,lloraba,llorábamos,lloraba,lloraban,llorarías,lloraría,lloraríamos,lloraría,llorarían,llorarás,lloraré,lloraremos,llorará,llorarán,has llorado,he llorado,hemos llorado,ha llorado,han llorado,habías llorado,había llorado,habíamos llorado,había llorado,habían llorado
oir,oes,oo,oimos,oe,oen,oiste,oí,oimos,oió,oieron,oías,oía,oíamos,oía,oían,oirías,oiría,oiríamos,oiría,oirían,oirás,oiré,oiremos,oirá,oirán,has oido,he oido,hemos oido,ha oido,han oido,habías oido,había oido,habíamos oido,había oido,habían oido
bajar,bajas,bajo,bajamos,baja,bajan,bajaste,bajé,bajamos,bajó,bajaron,bajabas,bajaba,bajábamos,bajaba,bajaban,bajarías,bajaría,bajaríamos,bajaría,bajarían,bajarás,bajaré,bajaremos,bajará,bajarán,has bajado,he bajado,hemos bajado,ha bajado,han bajado,habías bajado,había bajado,habíamos bajado,había bajado,habían bajado
prometir,prometes,prometo,prometimos,promete,prometen,prometiste,prometí,prometimos,prometió,prometieron,prometías,prometía,prometíamos,prometía,prometían,prometirías,prometiría,prometiríamos,prometiría,prometirían,prometirás,prometiré,prometiremos,prometirá,prometirán,has prometido,he prometido,hemos prometido,ha prometido,han prometido,habías prometido,había prometido,habíamos prometido,había prometido,habían prometido
contestar,contestas,contesto,contestamos,contesta,contestan,contestaste,contesté,contestamos,contestó,contestaron,contestabas,contestaba,contestábamos,contestaba,contestaban,contestarías,contestaría,contestaríamos,contestaría,contestarían,contestarás,contestaré,contestaremos,contestará,contestarán,has contestado,he contestado,hemos contestado,ha contestado,han contestado,habías contestado,había contestado,habíamos contestado,había contestado,habían contestado
esperar,esperas,espero,esperamos,espera,esperan,esperaste,esperé,esperamos,esperó,esperaron,esperabas,esperaba,esperábamos,esperaba,esperaban,esperarías,esperaría,esperaríamos,esperaría,esperarían,esperarás,esperaré,esperaremos,esperará,esperarán,has esperado,he esperado,hemos esperado,ha esperado,han esperado,habías esperado,había esperado,habíamos esperado,había esperado,habían esperado
aumentar,aumentas,aumento,aumentamos,aumenta,aumentan,aumentaste,aumenté,aumentamos,aumentó,aumentaron,aumentabas,aumentaba,aumentábamos,aumentaba,aumentaban,aumentarías,aumentaría,aumentaríamos,aumentaría,aumentarían,aumentarás,aumentaré,aumentaremos,aumentará,aumentarán,has aumentado,he aumentado,hemos aumentado,ha aumentado,han aumentado,habías aumentado,había aumentado,habíamos aumentado,había aumentado,habían aumentado
consultar,consultas,consulto,consultamos,consulta,consultan,consultaste,consulté,consultamos,consultó,consultaron,consultabas,consultaba,consultábamos,consultaba,consultaban,consultarías,consultaría,consultaríamos,consultaría,consultarían,consultarás,consultaré,consultaremos,consultará,consultarán,has consultado,he consultado,hemos consultado,ha consultado,han consultado,habías consultado,había consultado,habíamos consultado,había consultado,habían consultado
decidir,decides,decido,decidimos,decide,deciden,decidiste,decidí,decidimos,decidió,decidieron,decidías,decidía,decidíamos,decidía,decidían,decidirías,decidiría,decidiríamos,decidiría,decidirían,decidirás,decidiré,decidiremos,decidirá,decidirán,has decidido,he decidido,hemos decidido,ha decidido,han decidido,habías decidido,había decidido,habíamos decidido,había decidido,habían decidido
participar,participas,participo,participamos,participa,participan,participaste,participé,participamos,participó,participaron,participabas,participaba,participábamos,participaba,participaban,participarías,participaría,participaríamos,participaría,participarían,participarás,participaré,participaremos,participará,participarán,has participado,he participado,hemos participado,ha participado,han participado,habías participado,había participado,habíamos participado,había participado,habían participado
avisar,avisas,aviso,avisamos,avisa,avisan,avisaste,avisé,avisamos,avisó,avisaron,avisabas,avisaba,avisábamos,avisaba,avisaban,avisarías,avisaría,avisaríamos,avisaría,avisarían,avisarás,avisaré,avisaremos,avisará,avisarán,has avisado,he avisado,hemos avisado,ha avisado,han avisado,habías avisado,había avisado,habíamos avisado,había avisado,habían avisado
pasar,pasas,paso,pasamos,pasa,pasan,pasaste,pasé,pasamos,pasó,pasaron,pasabas,pasaba,pasábamos,pasaba,pasaban,pasarías,pasaría,pasaríamos,pasaría,pasarían,pasarás,pasaré,pasaremos,pasará,pasarán,has pasado,he pasado,hemos pasado,ha pasado,han pasado,habías pasado,había pasado,habíamos pasado,había pasado,habían pasado
mirar,miras,miro,miramos,mira,miran,miraste,miré,miramos,miró,miraron,mirabas,miraba,mirábamos,miraba,miraban,mirarías,miraría,miraríamos,miraría,mirarían,mirarás,miraré,miraremos,mirará,mirarán,has mirado,he mirado,hemos mirado,ha mirado,han mirado,habías mirado,había mirado,habíamos mirado,había mirado,habían mirado
odiar,odias,odio,odiamos,odia,odian,odiaste,odié,odiamos,odió,odiaron,odiabas,odiaba,odiábamos,odiaba,odiaban,odiarías,odiaría,odiaríamos,odiaría,odiarían,odiarás,odiaré,odiaremos,odiará,odiarán,has odiado,he odiado,hemos odiado,ha odiado,han odiado,habías odiado,había odiado,habíamos odiado,había odiado,habían odiado
remover,removes,removo,removemos,remove,removen,removiste,removí,removimos,removió,removieron,removías,removía,removíamos,removía,removían,removerías,removería,removeríamos,removería,removerían,removerás,removeré,removeremos,removerá,removerán,has removido,he removido,hemos removido,ha removido,han removido,habías removido,había removido,habíamos removido,había removido,habían removido
desviar,desvias,desvio,desviamos,desvia,desvian,desviaste,desvié,desviamos,desvió,desviaron,desviabas,desviaba,desviábamos,desviaba,desviaban,desviarías,desviaría,desviaríamos,desviaría,desviarían,desviarás,desviaré,desviaremos,desviará,desviarán,has desviado,he desviado,hemos desviado,ha desviado,han desviado,habías desviado,había desviado,habíamos desviado,había desviado,habían desviado
poder,puedes,puedo,podemos,puede,pueden,pudiste,pude,pudimos,pudo,pudieron,podías,podía,podíamos,podía,podían,podrías,podría,podríamos,podría,podrían,poderás,poderé,poderemos,poderá,poderán,has podido,he podido,hemos podido,ha podido,han podido,habías podido,había podido,habíamos podido,había podido,habían podido
dedicar,dedicas,dedico,dedicamos,dedica,dedican,dedicaste,dedicé,dedicamos,dedicó,dedicaron,dedicabas,dedicaba,dedicábamos,dedicaba,dedicaban,dedicarías,dedicaría,dedicaríamos,dedicaría,dedicarían,dedicarás,dedicaré,dedicaremos,dedicará,dedicarán,has dedicado,he dedicado,hemos dedicado,ha dedicado,han dedicado,habías dedicado,había dedicado,habíamos dedicado,había dedicado,habían dedicado
aguantar,aguantas,aguanto,aguantamos,aguanta,aguantan,aguantaste,aguanté,aguantamos,aguantó,aguantaron,aguantabas,aguantaba,aguantábamos,aguantaba,aguantaban,aguantarías,aguantaría,aguantaríamos,aguantaría,aguantarían,aguantarás,aguantaré,aguantaremos,aguantará,aguantarán,has aguantado,he aguantado,hemos aguantado,ha aguantado,han aguantado,habías aguantado,había aguantado,habíamos aguantado,había aguantado,habían aguantado
aprobar,aprobas,aprobo,aprobamos,aproba,aproban,aprobaste,aprobé,aprobamos,aprobó,aprobaron,aprobabas,aprobaba,aprobábamos,aprobaba,aprobaban,aprobarías,aprobaría,aprobaríamos,aprobaría,aprobarían,aprobarás,aprobaré,aprobaremos,aprobará,aprobarán,has aprobado,he aprobado,hemos aprobado,ha aprobado,han aprobado,habías aprobado,había aprobado,habíamos aprobado,había aprobado,habían aprobado
seguir,sigues,sigo,seguimos,sigue,siguen,seguiste,seguí,seguimos,seguió,seguieron,seguías,seguía,seguíamos,seguía,seguían,seguirías,seguiría,seguiríamos,seguiría,seguirían,seguirás,seguiré,seguiremos,seguirá,seguirán,has seguido,he seguido,hemos seguido,ha seguido,han seguido,habías seguido,había seguido,habíamos seguido,había seguido,habían seguido
jurar,juras,juro,juramos,jura,juran,juraste,juré,juramos,juró,juraron,jurabas,juraba,jurábamos,juraba,juraban,jurarías,juraría,juraríamos,juraría,jurarían,jurarás,juraré,juraremos,jurará,jurarán,has jurado,he jurado,hemos jurado,ha jurado,han jurado,habías jurado,había jurado,habíamos jurado,había jurado,habían jurado
pedir,pides,pido,pedimos,pide,piden,pediste,pedí,pedimos,pidió,pidieron,pedías,pedía,pedíamos,pedía,pedían,pedirías,pediría,pediríamos,pediría,pedirían,pedirás,pediré,pediremos,pedirá,pedirán,has pedido,he pedido,hemos pedido,ha pedido,han pedido,habías pedido,había pedido,habíamos pedido,había pedido,habían pedido
perder,perdes,perdo,perdemos,perde,perden,perdiste,perdí,perdimos,perdió,perdieron,perdías,perdía,perdíamos,perdía,perdían,perderías,perdería,perderíamos,perdería,perderían,perderás,perderé,perderemos,perderá,perderán,has perdido,he perdido,hemos perdido,ha perdido,han perdido,habías perdido,había perdido,habíamos perdido,había perdido,habían perdido
importar,importas,importo,importamos,importa,importan,importaste,importé,importamos,importó,importaron,importabas,importaba,importábamos,importaba,importaban,importarías,importaría,importaríamos,importaría,importarían,importarás,importaré,importaremos,importará,importarán,has importado,he importado,hemos importado,ha importado,han importado,habías importado,había importado,habíamos importado,había importado,habían importado
preguntar,preguntas,pregunto,preguntamos,pregunta,preguntan,preguntaste,pregunté,preguntamos,preguntó,preguntaron,preguntabas,preguntaba,preguntábamos,preguntaba,preguntaban,preguntarías,preguntaría,preguntaríamos,preguntaría,preguntarían,preguntarás,preguntaré,preguntaremos,preguntará,preguntarán,has preguntado,he preguntado,hemos preguntado,ha preguntado,han preguntado,habías preguntado,había preguntado,habíamos preguntado,había preguntado,habían preguntado
invitar,invitas,invito,invitamos,invita,invitan,invitaste,invité,invitamos,invitó,invitaron,invitabas,invitaba,invitábamos,invitaba,invitaban,invitarías,invitaría,invitaríamos,invitaría,invitarían,invitarás,invitaré,invitaremos,invitará,invitarán,has invitado,he invitado,hemos invitado,ha invitado,han invitado,habías invitado,había invitado,habíamos invitado,había invitado,habían invitado
practicar,practicas,practico,practicamos,practica,practican,practicaste,practiqué,practicamos,practicó,practicaron,practicabas,practicaba,practicábamos,practicaba,practicaban,practicarías,practicaría,practicaríamos,practicaría,practicarían,practicarás,practicaré,practicaremos,practicará,practicarán,has practicado,he practicado,hemos practicado,ha practicado,han practicado,habías practicado,había practicado,habíamos practicado,había practicado,habían practicado
guardar,guardas,guardo,guardamos,guarda,guardan,guardaste,guardé,guardamos,guardó,guardaron,guardabas,guardaba,guardábamos,guardaba,guardaban,guardarías,guardaría,guardaríamos,guardaría,guardarían,guardarás,guardaré,guardaremos,guardará,guardarán,has guardado,he guardado,hemos guardado,ha guardado,han guardado,habías guardado,había guardado,habíamos guardado,había guardado,habían guardado
necesitar,necesitas,necesito,necesitamos,necesita,necesitan,necesitaste,necesité,necesitamos,necesitó,necesitaron,necesitabas,necesitaba,necesitábamos,necesitaba,necesitaban,necesitarías,necesitaría,necesitaríamos,necesitaría,necesitarían,necesitarás,necesitaré,necesitaremos,necesitará,necesitarán,has necesitado,he necesitado,hemos necesitado,ha necesitado,han necesitado,habías necesitado,había necesitado,habíamos necesitado,había necesitado,habían necesitado
romper,rompes,rompo,rompemos,rompe,rompen,rompiste,rompí,rompimos,rompió,rompieron,rompías,rompía,rompíamos,rompía,rompían,romperías,rompería,romperíamos,rompería,romperían,romperás,romperé,romperemos,romperá,romperán,has rompido,he rompido,hemos rompido,ha rompido,han rompido,habías rompido,había rompido,habíamos rompido,había rompido,habían rompido
aceptar,aceptas,acepto,aceptamos,acepta,aceptan,aceptaste,acepté,aceptamos,aceptó,aceptaron,aceptabas,aceptaba,aceptábamos,aceptaba,aceptaban,aceptarías,aceptaría,aceptaríamos,aceptaría,aceptarían,aceptarás,aceptaré,aceptaremos,aceptará,aceptarán,has aceptado,he aceptado,hemos aceptado,ha aceptado,han aceptado,habías aceptado,había aceptado,habíamos aceptado,había aceptado,habían aceptado
realizar,realizas,realizo,realizamos,realiza,realizan,realizaste,realizé,realizamos,realizó,realizaron,realizabas,realizaba,realizábamos,realizaba,realizaban,realizarías,realizaría,realizaríamos,realizaría,realizarían,realizarás,realizaré,realizaremos,realizará,realizarán,has realizado,he realizado,hemos realizado,ha realizado,han realizado,habías realizado,había realizado,habíamos realizado,había realizado,habían realizado
cambiar,cambias,cambio,cambiamos,cambia,cambian,cambiaste,cambié,cambiamos,cambió,cambiaron,cambiabas,cambiaba,cambiábamos,cambiaba,cambiaban,cambiarías,cambiaría,cambiaríamos,cambiaría,cambiarían,cambiarás,cambiaré,cambiaremos,cambiará,cambiarán,has cambiado,he cambiado,hemos cambiado,ha cambiado,han cambiado,habías cambiado,había cambiado,habíamos cambiado,había cambiado,habían cambiado
caer,caes,caigo,caemos,cae,caen,caíste,caí,caímos,cayó,cayeron,caías,caía,caíamos,caía,caían,caerías,caería,caeríamos,caería,caerían,caerás,caeré,caeremos,caerá,caerán,has caido,he caido,hemos caido,ha caido,han caido,habías caido,había caido,habíamos caido,había caido,habían caido
apagar,apagas,apago,apagamos,apaga,apagan,apagaste,apagué,apagamos,apagó,apagaron,apagabas,apagaba,apagábamos,apagaba,apagaban,apagarías,apagaría,apagaríamos,apagaría,apagarían,apagarás,apagaré,apagaremos,apagará,apagarán,has apagado,he apagado,hemos apagado,ha apagado,han apagado,habías apagado,había apagado,habíamos apagado,había apagado,habían apagado
prender,prendes,prendo,prendemos,prende,prenden,prendiste,prendí,prendimos,prendió,prendieron,prendías,prendía,prendíamos,prendía,prendían,prenderías,prendería,prenderíamos,prendería,prenderían,prenderás,prenderé,prenderemos,prenderá,prenderán,has prendido,he prendido,hemos prendido,ha prendido,han prendido,habías prendido,había prendido,habíamos prendido,había prendido,habían prendido
cerrar,cierras,cierro,cerramos,cierra,cierran,cerraste,cerré,cerramos,cerró,cerraron,cerrabas,cerraba,cerrábamos,cerraba,cerraban,cerrarías,cerraría,cerraríamos,cerraría,cerrarían,cerrarás,cerraré,cerraremos,cerrará,cerrarán,has cerrado,he cerrado,hemos cerrado,ha cerrado,han cerrado,habías cerrado,había cerrado,habíamos cerrado,había cerrado,habían cerrado
tirar,tiras,tiro,tiramos,tira,tiran,tiraste,tiré,tiramos,tiró,tiraron,tirabas,tiraba,tirábamos,tiraba,tiraban,tirarías,tiraría,tiraríamos,tiraría,tirarían,tirarás,tiraré,tiraremos,tirará,tirarán,has tirado,he tirado,hemos tirado,ha tirado,han tirado,habías tirado,había tirado,habíamos tirado,había tirado,habían tirado
encender,encendes,encendo,encendemos,encende,encenden,encendiste,encendí,encendimos,encendió,encendieron,encendías,encendía,encendíamos,encendía,encendían,encenderías,encendería,encenderíamos,encendería,encenderían,encenderás,encenderé,encenderemos,encenderá,encenderán,has encendido,he encendido,hemos encendido,ha encendido,han encendido,habías encendido,había encendido,habíamos encendido,había encendido,habían encendido
removir,removes,removo,removimos,remove,removen,removiste,removí,removimos,removió,removieron,removías,removía,removíamos,removía,removían,removirías,removiría,removiríamos,removiría,removirían,removirás,removiré,removiremos,removirá,removirán,has removido,he removido,hemos removido,ha removido,han removido,habías removido,había removido,habíamos removido,había removido,habían removido
